opeid8,award_year,descriptor,raw_values,normalized_values
02173200,2004-2005,school,EMPIRE BEAUTY SCHOOL | Learning Institutes for Beauty Sciences,EMPIRE BEAUTY SCHOOL | LEARNING INSTITUTES FOR BEAUTY SCIENCES
02173200,2005-2006,school,EMPIRE BEAUTY SCHOOL | Learning Institutes for Beauty Sciences,EMPIRE BEAUTY SCHOOL | LEARNING INSTITUTES FOR BEAUTY SCIENCES
02174600,1999-2000,school,CYNTHIA'S BEAUTY ACADEMY | MARINELLO SCHOOL OF BEAUTY,CYNTHIAS BEAUTY ACADEMY | MARINELLO SCHOOL OF BEAUTY
02174600,2000-2001,school,CYNTHIA'S BEAUTY ACADEMY | MARINELLO SCHOOL OF BEAUTY,CYNTHIAS BEAUTY ACADEMY | MARINELLO SCHOOL OF BEAUTY
02174600,2001-2002,school,CYNTHIA'S BEAUTY ACADEMY | MARINELLO SCHOOL OF BEAUTY,CYNTHIAS BEAUTY ACADEMY | MARINELLO SCHOOL OF BEAUTY
02174600,2002-2003,school,MARINELLO SCHOOL OF BEAUTY | Cynthia's Beauty Academy,MARINELLO SCHOOL OF BEAUTY | CYNTHIAS BEAUTY ACADEMY
02174600,2003-2004,school,MARINELLO SCHOOL OF BEAUTY | Cynthia's Beauty Academy,MARINELLO SCHOOL OF BEAUTY | CYNTHIAS BEAUTY ACADEMY
02174600,2004-2005,school,MARINELLO SCHOOL OF BEAUTY | Cynthia's Beauty Academy,MARINELLO SCHOOL OF BEAUTY | CYNTHIAS BEAUTY ACADEMY
02174600,2005-2006,school,MARINELLO SCHOOL OF BEAUTY | Cynthia's Beauty Academy,MARINELLO SCHOOL OF BEAUTY | CYNTHIAS BEAUTY ACADEMY
02174600,2006-2007,school,MARINELLO SCHOOL OF BEAUTY | Cynthia's Beauty Academy,MARINELLO SCHOOL OF BEAUTY | CYNTHIAS BEAUTY ACADEMY
02174800,2001-2002,school,MICHAEL'S SCHOOL OF HAIR DESIGN & ESTHETICS | MICHAEL'S SCHOOL OF HAIR DESIGN,MICHAELS SCHOOL OF HAIR DESIGN AND ESTHETICS | MICHAELS SCHOOL OF HAIR DESIGN
02174800,2015-2016,school,MICHAEL'S SCHOOL OF HAIR DESIGN & ESTHETICS PAUL MITCHELL PARTNER SCHO | Michael's School of Hair Design & Esthetics,MICHAELS SCHOOL OF HAIR DESIGN AND ESTHETICS PAUL MITCHELL PARTNER SCHO | MICHAELS SCHOOL OF HAIR DESIGN AND ESTHETICS
02174800,2020-2021,school,MICHAEL'S SCHOOL OF HAIR DESIGN & ESTHETICS | Michael's School Of Hair Design & Esthetics Paul Mitchell Partner Scho,MICHAELS SCHOOL OF HAIR DESIGN AND ESTHETICS | MICHAELS SCHOOL OF HAIR DESIGN AND ESTHETICS PAUL MITCHELL PARTNER SCHO
02174800,2021-2022,school,MICHAEL'S SCHOOL OF HAIR DESIGN & ESTHETICS | Michael's School Of Hair Design & Esthetics Paul Mitchell Partner Scho,MICHAELS SCHOOL OF HAIR DESIGN AND ESTHETICS | MICHAELS SCHOOL OF HAIR DESIGN AND ESTHETICS PAUL MITCHELL PARTNER SCHO
02174900,2001-2002,school,COLLINS COLLEGE | AL COLLINS GRAPHIC DESIGN SCHOOL,COLLINS COLLEGE | AL COLLINS GRAPHIC DESIGN SCHOOL
02175800,2010-2011,school,LYNCHBURG GENERAL HOSPITAL SCHOOL OF NURSING | CENTRA COLLEGE OF NURSING,LYNCHBURG GENERAL HOSPITAL SCHOOL OF NURSING | CENTRA COLLEGE OF NURSING
02176900,1999-2000,school,ARTHUR ANGELO SCHOOL OF COSMETOLOGY AND HAIR DESIGN | EMPIRE BEAUTY SCHOOL,ARTHUR ANGELO SCHOOL OF COSMETOLOGY AND HAIR DESIGN | EMPIRE BEAUTY SCHOOL
02176900,2000-2001,school,ARTHUR ANGELO SCHOOL OF COSMETOLOGY AND HAIR DESIGN | EMPIRE BEAUTY SCHOOL,ARTHUR ANGELO SCHOOL OF COSMETOLOGY AND HAIR DESIGN | EMPIRE BEAUTY SCHOOL
