portable_name,canonical_name,variable_label
dl_sub_loans_originat_c52b8394ec,loan_direct__subsidized_loans_originated_n__lower_bound,Direct Loan: Subsidized loans originated count lower bound
dl_sub_loans_originat_c3170cce46,loan_direct__subsidized_loans_originated_n__upper_bound,Direct Loan: Subsidized loans originated count upper bound
dl_sub_loans_originat_c20d1fb72d,loan_direct__subsidized_loans_originated_amt,Direct Loan: Subsidized loans originated amount
dl_sub_loans_originat_4dd5094cc9,loan_direct__subsidized_loans_originated_amt__status,Direct Loan: Subsidized loans originated amount status
dl_sub_loans_originat_c9385c653c,loan_direct__subsidized_loans_originated_amt__raw_token,Direct Loan: Subsidized loans originated amount raw token
dl_sub_loans_originat_fdd63d09ab,loan_direct__subsidized_loans_originated_amt__lower_bound,Direct Loan: Subsidized loans originated amount lower bound
dl_sub_loans_originat_64da2c8fb9,loan_direct__subsidized_loans_originated_amt__upper_bound,Direct Loan: Subsidized loans originated amount upper bound
dl_sub_disb_n_0664a09d34,loan_direct__subsidized_disbursements_n,Direct Loan: Subsidized disbursements count
dl_sub_disb_n_status_94176df0c6,loan_direct__subsidized_disbursements_n__status,Direct Loan: Subsidized disbursements count status
dl_sub_disb_n_raw_tok_5b8423730b,loan_direct__subsidized_disbursements_n__raw_token,Direct Loan: Subsidized disbursements count raw token
dl_sub_disb_n_lb_112606c443,loan_direct__subsidized_disbursements_n__lower_bound,Direct Loan: Subsidized disbursements count lower bound
dl_sub_disb_n_ub_b59761be23,loan_direct__subsidized_disbursements_n__upper_bound,Direct Loan: Subsidized disbursements count upper bound
dl_sub_disb_678caadda8,loan_direct__subsidized_disbursements,Direct Loan: Subsidized disbursements
dl_sub_disb_status_83e49ffaba,loan_direct__subsidized_disbursements__status,Direct Loan: Subsidized disbursements status
dl_sub_disb_raw_token_6b815284b6,loan_direct__subsidized_disbursements__raw_token,Direct Loan: Subsidized disbursements raw token
dl_sub_disb_lb_3027fb9d70,loan_direct__subsidized_disbursements__lower_bound,Direct Loan: Subsidized disbursements lower bound
dl_sub_disb_ub_dc348cc4a6,loan_direct__subsidized_disbursements__upper_bound,Direct Loan: Subsidized disbursements upper bound
dl_unsub_recips_4c5a9e2f60,loan_direct__unsubsidized_recipients,Direct Loan: Unsubsidized recipients
dl_unsub_recips_statu_22cc4f1ed5,loan_direct__unsubsidized_recipients__status,Direct Loan: Unsubsidized recipients status
dl_unsub_recips_raw_t_6a692c8df1,loan_direct__unsubsidized_recipients__raw_token,Direct Loan: Unsubsidized recipients raw token
dl_unsub_recips_lb_5015591d50,loan_direct__unsubsidized_recipients__lower_bound,Direct Loan: Unsubsidized recipients lower bound
dl_unsub_recips_ub_f057b2f293,loan_direct__unsubsidized_recipients__upper_bound,Direct Loan: Unsubsidized recipients upper bound
dl_unsub_loans_origin_b638c3f3aa,loan_direct__unsubsidized_loans_originated_n,Direct Loan: Unsubsidized loans originated count
dl_unsub_loans_origin_eadd643499,loan_direct__unsubsidized_loans_originated_n__status,Direct Loan: Unsubsidized loans originated count status
dl_unsub_loans_origin_d37826842f,loan_direct__unsubsidized_loans_originated_n__raw_token,Direct Loan: Unsubsidized loans originated count raw token
dl_unsub_loans_origin_3ea82c39f7,loan_direct__unsubsidized_loans_originated_n__lower_bound,Direct Loan: Unsubsidized loans originated count lower bound
dl_unsub_loans_origin_24252cf6ee,loan_direct__unsubsidized_loans_originated_n__upper_bound,Direct Loan: Unsubsidized loans originated count upper bound
dl_unsub_loans_origin_6ac3f6cdfc,loan_direct__unsubsidized_loans_originated_amt,Direct Loan: Unsubsidized loans originated amount
dl_unsub_loans_origin_fe154665e2,loan_direct__unsubsidized_loans_originated_amt__status,Direct Loan: Unsubsidized loans originated amount status
dl_unsub_loans_origin_2e24ad714a,loan_direct__unsubsidized_loans_originated_amt__raw_token,Direct Loan: Unsubsidized loans originated amount raw token
dl_unsub_loans_origin_3b4d20c617,loan_direct__unsubsidized_loans_originated_amt__lower_bound,Direct Loan: Unsubsidized loans originated amount lower bound
