award_year,ipeds_year,unitid,instnm,opeid8,stabbr,city,sector,opeflag,act,cyactive,pset4flg,prch_f,idx_f,prch_sfa,idx_sfa,possible_group_evidence_category,diagnostic_root_fsa_opeids_json,official_observed_main_fsa_opeids_json,official_shared_parent_fsa_opeids_json,official_parent_reference_fsa_opeids_json,all_possible_group_fsa_opeids_json,cw_site_opeids_for_residual_unitid_json,cw_site_parent_opeids_json,cw_site_source_codes_json,cw_site_evidence_has_incomplete_parse,cw_reference_year_available,cw_preliminary_year,assignment_status,residual_type,fsa_observed_first_award_year,fsa_observed_last_award_year,fsa_observed_award_years
2024-2025,2024,117900,Los Rios Community College District Office,00123100,CA,Sacramento,0,2,A,1,1,1,117900,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00123100""]","[""00123100""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,120023,North Orange County Community College District,00974200,CA,Anaheim,0,2,A,1,1,1,120023,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00974200""]","[""00974200""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,120838,Pacific States University,03163300,CA,Los Angeles,2,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""03163300""]","[""03163300""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,other_active_participating_institution_no_observed_direct_or_group_link,1999-2000,2020-2021,22.0
2024-2025,2024,121178,Peralta Community College System Office,00126500,CA,Oakland,0,2,A,1,1,1,121178,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00126500""]","[""00126500""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,122320,San Diego Community College District-District Office,00889500,CA,San Diego,0,2,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00889500""]","[""00889500""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,122782,San Mateo County Community College District Office,00469700,CA,San Mateo,0,2,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00469700""]","[""00469700""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,123925,State Center Community College District,00130600,CA,Fresno,0,2,A,1,1,1,123925,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00130600""]","[""00130600""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,124557,University of California-System Administration Central Office,00131100,CA,Oakland,0,2,A,1,1,1,124557,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00131100""]","[""00131100""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,125019,Ventura County Community College System Office,00686300,CA,Camarillo,0,1,A,1,1,1,125019,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00686300""]","[""00686300""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,1999-2000,2005-2006,7.0
2024-2025,2024,125222,West Valley Mission Community College District Office,02913900,CA,Saratoga,0,2,A,1,1,1,125222,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""02913900""]","[""02913900""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
