opeid8,award_year,school,state,zip_code,unitid,ipeds_match_status,ipeds_root_unitid_count_start,ipeds_anchor_sensitivity,cw_year,cw_primary_unitid,cw_source_code,cw_source_method,cw_site_candidate_count,cw_additional_candidate_count,cw_site_parse_complete,cw_relation_parse_complete,cw_ipeds_reporting_code,cw_parent_opeid8,cw_preliminary,cw_raw_PEPSSchname,cw_raw_PEPSLocname,cw_raw_IPEDSInstnm,cw_raw_PEPSEligCert,cw_raw_IPEDSPSET4FLG,cw_raw_COA1,cw_raw_PY_OPEID,cw_raw_PYNotes,cw_membership,cw_mapping_status,geography_evidence,same_opeid_foreign_in_other_fsa_year
02241901,2009-2010,COMMONWEALTH OF PR DEPT OF EDUC - CARLOS F DANIELS VOC SCHOOL,PR,91907,,no_exact_match,5,ambiguous_or_unmatched,2009,418676,3,relationship_established_from_other_years,1.0,0.0,True,True,2,02241900,False,Commonwealth of Puerto Rico Department of Education,Commonwealth of PR Dept of Educ - Carlos F Daniels Voc School,Carlos F Daniels Area Vocational School,Yes [YPY],3,-2,02241901,,both,unique_official_site_match,PR,False
02251202,2006-2007,SCHUYLKILL TECHNOLOGY CENTERS - NORTH,PA,17931-2100,,no_exact_match,1,ambiguous_or_unmatched,2006,215886,1,ipeds_header_match,1.0,0.0,True,True,1,02251200,False,Schuylkill Technology Centers,Schuylkill Technology Centers - North,Schuylkill Technology Centers,Yes [YCY],1,-2,02251202,,both,unique_official_site_match,PA,False
02251202,2007-2008,SCHUYLKILL TECHNOLOGY CENTERS - NORTH,PA,17931-2100,,no_exact_match,1,ambiguous_or_unmatched,2007,215886,1,ipeds_header_match,1.0,0.0,True,True,1,02251200,False,Schuylkill Technology Centers,Schuylkill Technology Centers - North,Schuylkill Technology Centers,Yes [YCY],1,-2,02251202,,both,unique_official_site_match,PA,False
02251202,2009-2010,SCHUYLKILL TECHNOLOGY CENTERS - NORTH,PA,17931-2100,,no_exact_match,1,ambiguous_or_unmatched,2009,215886,1,ipeds_header_match,1.0,0.0,True,True,1,02251200,False,Schuylkill Technology Centers,Schuylkill Technology Centers - North,Schuylkill Technology Center,Yes [YCY],1,-2,02251202,,both,unique_official_site_match,PA,False
02266200,2001-2002,AMERICAN PROFESSIONAL INSTITUTE,GA,31201-3185,,no_exact_match,1,ambiguous_or_unmatched,2001,376668,1,ipeds_header_match,1.0,0.0,True,True,1,02266200,False,American Professional Institute,American Professional Institute,SOUTHERN INSTITUTE OF COSMETOLOGY,Yes,1,-2,02266200,,both,unique_official_site_match,GA,False
02274400,2004-2005,Bryant & Stratton College,OH,44130-1098,,no_exact_match,0,ambiguous_or_unmatched,2004,201469,3,relationship_established_from_other_years,1.0,0.0,True,True,2,02274400,False,Bryant & Stratton Business Institute,Bryant & Stratton Business Institute - Parma,BRYANT AND STRATTON COLLEGE-PARMA,No,1,02274400|00267808|7|20050419,02274400,,both,unique_official_site_match,OH,False
02326900,2000-2001,SUNSTATE ACADEMY,FL,33907-1415,,no_exact_match,1,ambiguous_or_unmatched,2000,362700,1,ipeds_header_match,1.0,0.0,True,True,1,02326900,False,Sunstate Academy,Sunstate Academy,SUNSTATE ACADEMY OF HAIR DESIGN,Yes,1,-2,-2,,both,unique_official_site_match,FL,False
02327600,2011-2012,ART INSTITUTE OF CALIFORNIA - SAN DIEGO,CA,92108-4423,,no_exact_match,0,ambiguous_or_unmatched,2011,117113,3,relationship_established_from_other_years,1.0,0.0,True,True,2,02327600,False,Art Institute of California - San Diego,Art Institute of California - San Diego,The Art Institute of California-San Diego,Yes [YPY],1,02327600|02179947|7|20120420,02327600,,both,unique_official_site_match,CA,False
02335700,2000-2001,BATON ROUGE GENERAL MEDICAL CENTER,LA,70806-3889,,no_exact_match,2,ambiguous_or_unmatched,2000,158325,3,relationship_established_from_other_years,1.0,0.0,True,True,2,02335700,False,Baton Rouge General Medical Center,Baton Rouge General Medical Center,BATON ROUGE GENERAL MEDICAL CENTER SCHOOL OF NURS,Yes,1,-2,-2,,both,unique_official_site_match,LA,False
02335700,2001-2002,BATON ROUGE GENERAL MEDICAL CENTER,LA,70806-3889,,no_exact_match,2,ambiguous_or_unmatched,2001,158325,3,relationship_established_from_other_years,1.0,0.0,True,True,2,02335700,False,Baton Rouge General Medical Center,Baton Rouge General Medical Center,BATON ROUGE GENERAL MEDICAL CENTER SCHOOL OF NURS,Yes,1,-2,02335700,,both,unique_official_site_match,LA,False
